Name,ChrNr,Resolution,n,WN,WS,binNrStart,binNrEnd,START,END,S
G401_BR1,14,40000,253.0,759,2,808,1067,32280000,42680000,2.9748287441307433
G401_BR1,14,40000,253.0,759,2,810,1069,32360000,42760000,2.9886776111626037
G401_BR1,14,40000,253.0,759,2,812,1071,32440000,42840000,2.9962537318862617
G401_BR1,14,40000,253.0,759,2,814,1073,32520000,42920000,3.0052108202190855
G401_BR1,14,40000,253.0,759,2,816,1075,32600000,43000000,3.0101532315229833
G401_BR1,14,40000,253.0,759,2,818,1077,32680000,43080000,3.0122220704298917
G401_BR1,14,40000,253.0,759,2,820,1079,32760000,43160000,3.010243194430613
G401_BR1,14,40000,253.0,759,2,822,1081,32840000,43240000,3.014020396552991
G401_BR1,14,40000,253.0,759,2,824,1083,32920000,43320000,3.0142843799955856
G401_BR1,14,40000,253.0,759,2,826,1085,33000000,43400000,3.0114023419893527
G401_BR1,14,40000,253.0,759,2,828,1087,33080000,43480000,3.0056198097108053
G401_BR1,14,40000,253.0,759,2,830,1089,33160000,43560000,3.0024712873657053
G401_BR1,14,40000,253.0,759,2,832,1091,33240000,43640000,2.992520286636356
G401_BR1,14,40000,253.0,759,2,834,1093,33320000,43720000,2.9831316429886123
G401_BR1,14,40000,253.0,759,2,836,1095,33400000,43800000,2.974384380056666
G401_BR1,14,40000,253.0,759,2,838,1097,33480000,43880000,2.9726202584297288
G401_BR1,14,40000,253.0,759,2,840,1099,33560000,43960000,2.9678350340711166
G401_BR1,14,40000,253.0,759,2,842,1101,33640000,44040000,2.9661630304479307
G401_BR1,14,40000,253.0,759,2,844,1103,33720000,44120000,2.9691464881096663
G401_BR1,14,40000,253.0,759,2,846,1105,33800000,44200000,2.9682050557646527
G401_BR1,14,40000,253.0,759,2,848,1107,33880000,44280000,2.97096273734288
G401_BR1,14,40000,253.0,759,2,850,1109,33960000,44360000,2.969526398804428
G401_BR1,14,40000,253.0,759,2,852,1111,34040000,44440000,2.968529222394579
G401_BR1,14,40000,253.0,759,2,854,1113,34120000,44520000,2.960827866892455
G401_BR1,14,40000,253.0,759,2,856,1115,34200000,44600000,2.9545107912573014
G401_BR1,14,40000,253.0,759,2,858,1117,34280000,44680000,2.9507864493472153
G401_BR1,14,40000,253.0,759,2,861,1119,34400000,44760000,2.9513687053833118
G401_BR1,14,40000,253.0,759,2,864,1121,34520000,44840000,2.9495761572147563
G401_BR1,14,40000,253.0,759,2,867,1123,34640000,44920000,2.948161946934297
G401_BR1,14,40000,253.0,759,2,870,1125,34760000,45000000,2.940144658150748
G401_BR1,14,40000,253.0,759,2,872,1127,34840000,45080000,2.9318204859055004
G401_BR1,14,40000,253.0,759,2,874,1129,34920000,45160000,2.919668660163688
G401_BR1,14,40000,253.0,759,2,877,1131,35040000,45240000,2.9072786708809706
G401_BR1,14,40000,253.0,759,2,879,1133,35120000,45320000,2.895608385102809
G401_BR1,14,40000,253.0,759,2,881,1135,35200000,45400000,2.8893461651805006
G401_BR1,14,40000,253.0,759,2,883,1137,35280000,45480000,2.8918308626500195
G401_BR1,14,40000,253.0,759,2,886,1139,35400000,45560000,2.894933162180894
G401_BR1,14,40000,253.0,759,2,888,1141,35480000,45640000,2.891994425922205
G401_BR1,14,40000,253.0,759,2,890,1143,35560000,45720000,2.890448105880389
G401_BR1,14,40000,253.0,759,2,892,1145,35640000,45800000,2.8847420723647854
G401_BR1,14,40000,253.0,759,2,894,1147,35720000,45880000,2.8719262845898483
G401_BR1,14,40000,253.0,759,2,896,1149,35800000,45960000,2.861694634954835
G401_BR1,14,40000,253.0,759,2,898,1151,35880000,46040000,2.8515628420079486
G401_BR1,14,40000,253.0,759,2,900,1153,35960000,46120000,2.8410383158203505
G401_BR1,14,40000,253.0,759,2,902,1155,36040000,46200000,2.842346182159595
G401_BR1,14,40000,253.0,759,2,904,1157,36120000,46280000,2.8432049155540886
G401_BR1,14,40000,253.0,759,2,906,1159,36200000,46360000,2.845696584354552
G401_BR1,14,40000,253.0,759,2,908,1161,36280000,46440000,2.8515227139730563
G401_BR1,14,40000,253.0,759,2,910,1163,36360000,46520000,2.8564515237801813
G401_BR1,14,40000,253.0,759,2,912,1165,36440000,46600000,2.861644141249666
G401_BR1,14,40000,253.0,759,2,914,1167,36520000,46680000,2.8636905573905445
G401_BR1,14,40000,253.0,759,2,916,1169,36600000,46760000,2.8642336719484542
G401_BR1,14,40000,253.0,759,2,918,1171,36680000,46840000,2.86118329490538
G401_BR1,14,40000,253.0,759,2,920,1173,36760000,46920000,2.859456993243952
G401_BR1,14,40000,253.0,759,2,922,1175,36840000,47000000,2.8562594726674435
G401_BR1,14,40000,253.0,759,2,924,1177,36920000,47080000,2.852043666761127
G401_BR1,14,40000,253.0,759,2,926,1179,37000000,47160000,2.8454240026336564
G401_BR1,14,40000,253.0,759,2,928,1181,37080000,47240000,2.8413528404029775
G401_BR1,14,40000,253.0,759,2,930,1183,37160000,47320000,2.842250769275461
G401_BR1,14,40000,253.0,759,2,932,1185,37240000,47400000,2.848681635699291
G401_BR1,14,40000,253.0,759,2,934,1187,37320000,47480000,2.8663049978451802
G401_BR1,14,40000,253.0,759,2,936,1189,37400000,47560000,2.8828516659813443
G401_BR1,14,40000,253.0,759,2,938,1191,37480000,47640000,2.901333631197623
G401_BR1,14,40000,253.0,759,2,940,1193,37560000,47720000,2.9206891051221273
G401_BR1,14,40000,253.0,759,2,942,1195,37640000,47800000,2.9340035148638623
G401_BR1,14,40000,253.0,759,2,944,1197,37720000,47880000,2.94544146919602
G401_BR1,14,40000,253.0,759,2,946,1199,37800000,47960000,2.955436120529968
G401_BR1,14,40000,253.0,759,2,948,1201,37880000,48040000,2.9582281979686584
G401_BR1,14,40000,253.0,759,2,950,1203,37960000,48120000,2.96246040551694
G401_BR1,14,40000,253.0,759,2,952,1205,38040000,48200000,2.9626884754836635
G401_BR1,14,40000,253.0,759,2,954,1207,38120000,48280000,2.9592944152116654
G401_BR1,14,40000,253.0,759,2,956,1209,38200000,48360000,2.9554780508983454
G401_BR1,14,40000,253.0,759,2,958,1211,38280000,48440000,2.958166542977362
G401_BR1,14,40000,253.0,759,2,960,1213,38360000,48520000,2.9585752372756318
G401_BR1,14,40000,253.0,759,2,962,1215,38440000,48600000,2.963444981300898
